id,data,model,score
129,CNNDM,PG,0.6998687696239099
101,CNNDM,PG,0.504522168514601
117,CNNDM,PG,0.024711294691145486
104,CNNDM,BERT,0.9061924470820726
132,CNNDM,PG,1.0229488880250475
51,CNNDM,PG,1.3285218363712332
125,CNNDM,PG,0.17113084258557734
128,CNNDM,PG,0.4478272336561133
40,CNNDM,PG,-0.4413332820032501
9,CNNDM,PG,0.7715946551000908
69,CNNDM,BERT,0.7365507240048744
37,CNNDM,BERT,-0.1737838780884757
15,CNNDM,BERT,0.5540338530894302
94,CNNDM,BERT,1.255441648601198
99,CNNDM,PG,-0.11837047546052677
57,CNNDM,BERT,0.35951106253686876
23,CNNDM,BERT,0.5408786638899745
19,CNNDM,PG,0.2366050023655151
31,CNNDM,BERT,1.1289682293180363
18,CNNDM,PG,1.0918823383332652
80,CNNDM,PG,0.7545962977480309
102,CNNDM,BERT,-0.3586883670201961
1,CNNDM,PG,-0.18029922076938196
47,CNNDM,BERT,-0.36210311061784967
113,CNNDM,PG,0.4111385228479362
96,CNNDM,PG,1.0468026306934541
11,CNNDM,BERT,-0.117700378721109
64,CNNDM,BERT,-1.2147326164217627
95,CNNDM,BERT,0.6178764128037747
38,CNNDM,BERT,0.10273887400742648
21,CNNDM,PG,-0.09857793953976675
27,CNNDM,PG,0.7120345570947606
65,CNNDM,BERT,0.9264873301484343
36,CNNDM,BERT,-0.1745190157893238
49,CNNDM,PG,0.6553901422304328
129,CNNDM,BERT,1.1498069308819046
130,CNNDM,PG,0.9188996353355304
32,CNNDM,PG,1.6322955864730468
124,CNNDM,BERT,-0.36607187677313463
69,CNNDM,PG,0.3200659564392696
96,CNNDM,BERT,1.3155500352020364
84,CNNDM,PG,0.5401218080946064
19,CNNDM,BERT,-0.5608791957613323
52,CNNDM,PG,-0.3444243871610671
81,CNNDM,BERT,0.5136375757600763
112,CNNDM,PG,-0.14577293190021637
2,CNNDM,PG,-0.4616390016653355
83,CNNDM,BERT,1.4983643646189229
44,CNNDM,BERT,0.5267245872031251
80,CNNDM,BERT,0.4894107460977844
88,CNNDM,BERT,0.21090068297792663
83,CNNDM,PG,0.05647546058284227
97,CNNDM,BERT,-0.06009125789819547
118,CNNDM,PG,1.3228044497624547
60,CNNDM,BERT,0.46827605363640057
25,CNNDM,PG,1.129933895104697
78,CNNDM,BERT,0.4710529462190039
34,CNNDM,BERT,0.14967525682859883
29,CNNDM,PG,-0.3053001675215687
103,CNNDM,BERT,0.5945931241350714
58,CNNDM,BERT,1.4955874720363196
82,CNNDM,BERT,0.38591593502568894
75,CNNDM,BERT,0.970988802952112
105,CNNDM,BERT,1.7588055731903343
75,CNNDM,PG,-0.8884499446812738
34,CNNDM,PG,-1.0047711901974283
77,CNNDM,PG,-0.07852617539606883
9,CNNDM,BERT,0.23566494662470375
134,CNNDM,BERT,0.473319220938635
20,CNNDM,BERT,1.52498440329759
22,CNNDM,BERT,1.434105155251262
54,CNNDM,BERT,1.1151256938697653
106,CNNDM,BERT,0.2866227110233586
92,CNNDM,PG,0.4595569471520189
42,CNNDM,BERT,0.45778796707954444
17,CNNDM,PG,-1.0585165524276805
61,CNNDM,BERT,-0.19474697460300217
48,CNNDM,PG,0.21298820766426682
66,CNNDM,BERT,0.18805256728830902
2,CNNDM,BERT,-0.11979450456099539
122,CNNDM,BERT,0.4443639501702071
44,CNNDM,PG,1.1802431797639106
109,CNNDM,BERT,0.7275860263649824
131,CNNDM,PG,0.5814159527434767
130,CNNDM,BERT,-0.9442818333635349
8,CNNDM,BERT,-0.41214158122342
48,CNNDM,BERT,0.2759438349647025
108,CNNDM,BERT,-0.05070067670331261
125,CNNDM,BERT,-0.22224059962170298
41,CNNDM,PG,0.3652693778801392
15,CNNDM,PG,0.058377975997159104
88,CNNDM,PG,0.17446214430092546
12,CNNDM,BERT,0.6443790764192743
123,CNNDM,BERT,1.0528338999788127
127,CNNDM,PG,0.48317063709137537
16,CNNDM,BERT,0.8182254947877973
63,CNNDM,PG,-1.1639618183974612
127,CNNDM,BERT,0.8332684474466668
39,CNNDM,PG,0.2374547944554584
128,CNNDM,BERT,0.4650134151729895
58,CNNDM,PG,0.3143494701054753
132,CNNDM,BERT,0.9330170716919935
78,CNNDM,PG,-0.3955838525901341
107,CNNDM,BERT,-0.20307406060523084
115,CNNDM,PG,0.7505509020436215
72,CNNDM,BERT,1.0892307676500304
133,CNNDM,BERT,1.1042737203089
20,CNNDM,PG,0.25238550808878596
113,CNNDM,BERT,0.23952725038951136
82,CNNDM,PG,-0.17131758361825303
87,CNNDM,PG,0.8185408250579145
79,CNNDM,PG,0.4769367562039993
122,CNNDM,PG,0.9408125510846809
35,CNNDM,PG,-0.17854437891024225
73,CNNDM,BERT,-0.08898997897323617
79,CNNDM,BERT,0.4949947488222745
35,CNNDM,BERT,-0.40277450091373224
111,CNNDM,BERT,0.306125878531901
31,CNNDM,PG,1.6300131968171083
92,CNNDM,BERT,0.5785620416051833
65,CNNDM,PG,1.0096803810460804
1,CNNDM,BERT,0.7742263466885627
7,CNNDM,PG,0.09188231896880354
91,CNNDM,PG,0.1944501844462109
0,CNNDM,BERT,1.0428054656964931
52,CNNDM,BERT,1.2595048783954146
59,CNNDM,PG,-0.614187535340816
3,CNNDM,BERT,0.018510837025313292
24,CNNDM,BERT,0.5650161423369309
24,CNNDM,PG,0.3609536840793453
33,CNNDM,BERT,0.12817986757234617
73,CNNDM,PG,-0.23222283033442317
85,CNNDM,BERT,0.6530248088420032
84,CNNDM,BERT,0.26569829467597594
17,CNNDM,BERT,0.09869278058595976
70,CNNDM,BERT,-0.28196396495944054
95,CNNDM,PG,1.7712115384152434
30,CNNDM,PG,-0.07403678900814605
26,CNNDM,PG,-0.026462193002483647
116,CNNDM,BERT,-0.6315728292565078
115,CNNDM,BERT,0.7128687849573004
134,CNNDM,PG,1.0999135900511365
36,CNNDM,PG,0.2011286243679831
110,CNNDM,PG,0.48026173867840916
60,CNNDM,PG,1.1372554574423537
8,CNNDM,PG,0.6213441109696868
94,CNNDM,PG,0.6351408689632788
3,CNNDM,PG,-0.453095941379156
23,CNNDM,PG,-0.1811480761286326
111,CNNDM,PG,0.6521806668192595
99,CNNDM,BERT,1.0406138844548534
90,CNNDM,PG,-0.6523768430977326
62,CNNDM,PG,-0.06030641578331031
74,CNNDM,PG,0.2966113566424528
72,CNNDM,PG,1.2872425213511303
64,CNNDM,PG,-0.06213326346180866
43,CNNDM,BERT,1.6027181860147672
118,CNNDM,BERT,0.8182726838630526
70,CNNDM,PG,0.6540377230551245
120,CNNDM,BERT,-0.1409645073381195
33,CNNDM,PG,-0.18792492748495182
39,CNNDM,BERT,1.1464236080384662
123,CNNDM,PG,-0.42588455565795796
110,CNNDM,BERT,1.3616777741677446
86,CNNDM,BERT,-1.3489241996126307
6,CNNDM,BERT,0.1829546143792421
66,CNNDM,PG,0.468646242818712
13,CNNDM,BERT,0.07777968547687242
76,CNNDM,PG,-0.36692415144967794
56,CNNDM,PG,1.0495847890620964
89,CNNDM,PG,0.6109854012875929
43,CNNDM,PG,1.2082732934704252
108,CNNDM,PG,-0.6644024533054785
28,CNNDM,PG,0.8386407983375025
77,CNNDM,BERT,-0.3210830063219455
102,CNNDM,PG,-0.04159065358246113
100,CNNDM,BERT,-0.7817956305073732
26,CNNDM,BERT,1.7774509098430427
55,CNNDM,BERT,-0.05187544949223307
114,CNNDM,BERT,-0.8586922689600053
7,CNNDM,BERT,0.65741997130043
14,CNNDM,BERT,1.5948043775857992
0,CNNDM,PG,0.9047762171908355
4,CNNDM,BERT,-0.3168349768673729
126,CNNDM,BERT,0.23906255673813
103,CNNDM,PG,-0.15293361554180782
68,CNNDM,BERT,0.01925789990555952
93,CNNDM,BERT,0.0021478120813112067
120,CNNDM,PG,-0.22576677489012933
71,CNNDM,BERT,-0.6284275284110727
29,CNNDM,BERT,1.5948826200051875
126,CNNDM,PG,0.13981618528545606
10,CNNDM,BERT,-0.7048505347262125
89,CNNDM,BERT,1.1152095104067412
98,CNNDM,BERT,0.7688388627109598
22,CNNDM,PG,0.204612720737954
14,CNNDM,PG,1.6089451769793328
106,CNNDM,PG,0.4723783406306272
67,CNNDM,PG,1.4433673002047316
27,CNNDM,BERT,-0.4123415071038184
42,CNNDM,PG,0.49147351180267945
50,CNNDM,PG,0.32980626711253586
30,CNNDM,BERT,1.4077186105471362
53,CNNDM,BERT,-0.5245069444517464
46,CNNDM,BERT,0.5348824621325349
112,CNNDM,BERT,0.47713298564015694
11,CNNDM,PG,-1.111838126567554
57,CNNDM,PG,-0.3518637948862183
98,CNNDM,PG,-0.03568938788576468
38,CNNDM,PG,0.20297580633153653
67,CNNDM,BERT,0.2988392072078028
6,CNNDM,PG,0.11850801056532978
32,CNNDM,BERT,1.9154566324131512
13,CNNDM,PG,-0.8983285475995627
54,CNNDM,PG,1.3109555013280516
76,CNNDM,BERT,1.6763023467248157
81,CNNDM,PG,1.0657920610278615
37,CNNDM,PG,0.8159516951676883
101,CNNDM,BERT,0.03483248734346445
51,CNNDM,BERT,0.4843570358551974
85,CNNDM,PG,0.25474874937302505
119,CNNDM,PG,0.27559600631284015
53,CNNDM,PG,-0.6088259306164167
45,CNNDM,PG,-0.35343721623443286
71,CNNDM,PG,-0.8456917081480816
45,CNNDM,BERT,0.8949069543449099
50,CNNDM,BERT,0.7873089553524514
56,CNNDM,BERT,0.22220826812007743
12,CNNDM,PG,0.49570245174699695
49,CNNDM,BERT,0.9190749581918208
91,CNNDM,BERT,0.37697194377809157
100,CNNDM,PG,0.7011264551883287
21,CNNDM,BERT,-0.22039966197891558
28,CNNDM,BERT,1.0595743668180984
87,CNNDM,BERT,0.7544788344368468
114,CNNDM,PG,-0.586002933714985
86,CNNDM,PG,-0.8875984835947407
25,CNNDM,BERT,-0.07781737249250366
121,CNNDM,BERT,0.9186897835284565
74,CNNDM,BERT,0.5887866219362466
63,CNNDM,BERT,0.8461196021348568
109,CNNDM,PG,0.9419185207914792
18,CNNDM,BERT,1.1658438291183142
119,CNNDM,BERT,0.019519774993522403
133,CNNDM,PG,0.9296214351382694
124,CNNDM,PG,-0.3563812456001338
117,CNNDM,BERT,1.3126397425421314
47,CNNDM,PG,0.9180291598454408
59,CNNDM,BERT,-0.1944951778454814
5,CNNDM,PG,0.6701859529931289
10,CNNDM,PG,0.36303123010801003
104,CNNDM,PG,0.9360958386334676
107,CNNDM,PG,-0.5529738099052285
4,CNNDM,PG,0.6679554113746168
5,CNNDM,BERT,0.2572577335246727
116,CNNDM,PG,0.8190337542578288
41,CNNDM,BERT,-0.29120711700152724
105,CNNDM,PG,1.4230610225608953
61,CNNDM,PG,-0.9938840819644286
90,CNNDM,BERT,0.3537678939663184
131,CNNDM,BERT,0.9125740700679724
46,CNNDM,PG,-0.224473864447669
16,CNNDM,PG,-0.8952082081065266
62,CNNDM,BERT,0.4584469156607854
68,CNNDM,PG,-0.9228239846439635
93,CNNDM,PG,1.1042652092435497
55,CNNDM,PG,0.9677189282078015
121,CNNDM,PG,0.742775140711529
40,CNNDM,BERT,1.4230610225608953
97,CNNDM,PG,0.6092343444534535
