id,data,model,score
132,XSUM,PG,-0.537557521910697
113,XSUM,BERT,-0.2759766879152951
19,XSUM,PG,-0.14827276160877897
40,XSUM,BERT,1.5127517392021197
20,XSUM,PG,-1.5785657551847523
8,XSUM,BERT,0.2579937193587641
109,XSUM,BERT,-0.12833790417661084
75,XSUM,PG,-0.5460256734213189
97,XSUM,PG,-0.7109448496273082
127,XSUM,BERT,-0.50008222380758
111,XSUM,BERT,0.3725816452788839
31,XSUM,BERT,-1.036844966277506
35,XSUM,BERT,-1.1509469422556178
0,XSUM,PG,0.041108383996818244
52,XSUM,BERT,-1.0185690011379347
2,XSUM,BERT,-0.8067531058746606
59,XSUM,PG,-0.6710906507877811
95,XSUM,BERT,-0.663511720635854
36,XSUM,BERT,0.17692085634308588
56,XSUM,BERT,0.026435597785689546
119,XSUM,PG,-0.11575862435864326
20,XSUM,BERT,0.19219410057323527
81,XSUM,BERT,0.7418974016833545
7,XSUM,BERT,0.48376350052568545
14,XSUM,BERT,0.07610689744765346
72,XSUM,BERT,-1.0189218125624602
78,XSUM,PG,-0.8152548386355388
111,XSUM,PG,0.023796648845635593
37,XSUM,BERT,-0.2848794535264813
127,XSUM,PG,-0.6856895297927522
6,XSUM,PG,-0.6324794854909906
82,XSUM,BERT,1.2212383404894953
116,XSUM,BERT,0.7630690401909899
32,XSUM,PG,-1.2652394390969848
47,XSUM,PG,-1.1882223702230814
29,XSUM,PG,-0.8200678775839166
134,XSUM,BERT,-0.2784347257444533
3,XSUM,BERT,-0.02912255161461637
31,XSUM,PG,-1.2652394390969848
26,XSUM,PG,0.3478498754283
5,XSUM,BERT,0.9553580439201736
42,XSUM,BERT,1.2553199069831493
22,XSUM,PG,-0.7151175185691042
114,XSUM,PG,-0.3803494449704105
37,XSUM,PG,-1.245036710026896
122,XSUM,BERT,0.6792064578763211
89,XSUM,PG,-0.9901784788330446
29,XSUM,BERT,-0.037958371620915386
68,XSUM,PG,-0.197623809464098
102,XSUM,BERT,1.0653824280257498
93,XSUM,PG,-1.2551380745619403
96,XSUM,BERT,-0.3426293228542252
115,XSUM,BERT,-0.9901784788330446
60,XSUM,PG,-0.6995630251344979
57,XSUM,BERT,0.21144534578663257
74,XSUM,PG,-0.6305558057391852
103,XSUM,PG,-1.4944620396905404
64,XSUM,BERT,0.15942560884623183
104,XSUM,PG,0.18366754254263026
80,XSUM,BERT,1.0584134541290304
107,XSUM,PG,-1.245149454084508
91,XSUM,PG,0.05315390519153307
38,XSUM,PG,-0.8428325881438065
