id,data,model,score,text
92,CNNDM,BERT,87.66666666666669,"thenga adams , flying from guyana in south america was arrested after customs at jfk in new york searched the sneakers in his luggage
when customs opened the soles of the athletic shoes they found $ 30,000 worth of cocaine
adams now faces federal drug smuggling charges"
119,CNNDM,BERT,83.66666666666667,"more than 700 asiatic black bears , over a third of those held in captivity in vietnam , have allegedly been butchered in the past year alone
farmers claim the extinction-threatened bears are dying from disease and old age
but sources say owners are killing them to ` extract the last ounce of blood ' and selling their body parts to make chinese medicine"
60,CNNDM,BERT,35.0,"tomas berdych beat juan monaco 6-3 , 6-4 in the miami open quarter-finals
the eighth seed will face andy murray in a rematch with the czech
berdych is coached by murray 's former assistant dani vallverdu"
123,CNNDM,BERT,61.0,"former northern territory politician matthew gardiner has reportedly been detained at darwin airport as he returned from syria
the 43-year-old , who has an army background , was allowed to leave the country because he was not on any watch list
he is head of the nt labor party , though he was suspended from his role after his disappearance
in february australian man ashley johnston became the first westerner to be killed fighting against is for the kurdish people 's protection unit ( ypg )"
16,CNNDM,LEAD3,87.33333333333331,"the wife of the prominent d.c. rabbi who was caught filming dozens of women changing in a ritual bathroom at their synagogue has spoken out for the first time since his arrest last fall .
a little more than a month before her husband , bernard freundel , is set to be sentenced for his crimes , his wife sharon freundel held a lecture at a maryland jewish school about how to respond to traumatic experiences .
while mrs freundel did not directly address her personal drama , she did allude to the scandal which shocked her community at the beginning of the talk . '"
2,CNNDM,PROPHETNET,75.66666666666667,"the labour leader has been touring the country with the prop .
he has delivered key speeches in the campaign stood behind the lectern .
but it has also been deployed when he is just making some brief remarks .
used it in a north london street on april 16 and then in lincoln the next day ."
13,CNNDM,LEAD3,54.33333333333334,"so , once again , it will all come down to the actions of a man from salto .
on this occasion , though , the focus will not be on salto’s most famous son .
luis suarez will be at the parc des princes tonight , forming one part of football’s most famous three-man attack , looking to fire barcelona into the champions league semi-finals ."
3,CNNDM,PROPHETNET,83.33333333333333,"joshua finbow , 23 , craig stoner , 24 , simon radford , 31 , and darren smalley , 35 , charged with sexual assault causing bodily harm and group sexual assault .
they were taking part in a royal navy ice-hockey team tour of nova scotia .
alleged victim , a civilian , was taken to hospital and examined by nurses .
if found guilty , the men could face 14 years in jail ."
109,CNNDM,BERT,49.66666666666666,"lily sharp , who lives in the uk , convinced her mother she had been kidnapped
she began by texting her mother a seemingly innocent message : ` you did n't tell me the decorator man was coming mate ! '
she then added : ' i thought i was guna get taken man . thought he was tryna trick me into getting into the house '"
2,CNNDM,LEAD3,84.66666666666667,"whether he is in a car park , a factory or even a field , ed miliband is never far from a lectern during the election campaign .
the labour leader has been touring the country with the prop in an attempt to make him appear more statesmanlike .
he has delivered key speeches in the campaign stood behind the lectern ."
5,CNNDM,LEAD3,83.66666666666667,"geoff barrow has accused streaming services of giving music away , saying his band portishead were paid just £1,700 despite getting 34million plays .
the founder of rock band portishead has waded into the debate over music streaming , saying that he received just £1,700 in royalties despite his songs being played 34million times .
in a series of tweets geoff barrow , portishead 's founder and instrumentalist , attacked spotify , youtube , apple and ' especially ' universal music for selling his music cheaply ."
31,CNNDM,PG,87.0,"mary attended an anzac day ceremony in copenhagen over the weekend .
the australian-born royal cut a solemn figure as she placed a wreath at a memorial in copenhagen .
the 43-year-old chose a dark ensemble for the event , wearing a knee-length purple dress beneath a black jacket and striking black millinery and gloves .
mary 's attendance at the anzac day commemorations came days after her comments in a televised interview about dealing with loneliness ."
1,CNNDM,PROPHETNET,81.33333333333333,"pennyhill park boasts a 45,000 sq ft spa , 21 treatment rooms and a two michelin-star restaurant .
celebrities including nicole kidman and daniel craig are regular visitors .
the historic property was first built in 1851 and was used as a rest house during the first world war ."
20,CNNDM,LEAD3,80.66666666666667,"the parents of a sweet six-year-old are using adorable videos of their daughter dancing to help raise awareness about her rare disorder - and the moving and grooving clips have quickly turned the youngster into an online star .
audrey nethery , from kentucky , has diamond blackfan anemia ( dba ) , a life-threatening bone marrow condition that impacts her body 's ability to circulate oxygen .
since audrey is unable to produce enough red blood cells , her parents told the mirror , she has faced a host of health issues in her short life ."
103,CNNDM,PG,50.0,"iona costello , 51 , and her daughter emily , from greenport , were last seen on march 30 near their home in the wealthy seaside village .
their car was found in a parking garage on 42nd street in manhattan , but the pair , who often went into the city for theater and art museums , left no other trace of their whereabouts .
the pair often go to shows and museums in new york city , but relatives have filed a missing person report after emily did not return to her east hampton school from spring break .
while trips into new york were fairly normal , emily being out of school is not ."
10,CNNDM,PROPHETNET,91.0,"the tortoise retreated into its shell to avoid being eaten by the big cats .
the baffled cheetahs surrounded the reptile and tried to scare it out .
but the little reptile kept well tucked up inside its tough exterior ."
0,CNNDM,LEAD3,85.33333333333333,"this is the breathtaking moment a diver came face to face with a ' fish tornado ' off the mexican coast .
tori hester , 25 , from san diego , california , was diving in cabo pulmo when the huge school of trevally fish began circling above her .
husband jeff , 26 , was on hand to capture the incredible moment using his underwater camera ."
58,CNNDM,BERT,39.66666666666666,"rafa benitez has won 12 trophies since 2002 with valencia , liverpool , inter milan , chelsea and napoli
the 55-year-old is out of contract this summer and it makes him a man in demand
manchester city , paris st germain and real madrid are all considering changes as are west ham and newcastle"
21,CNNDM,PG,87.66666666666669,"delta 's new pet gps , available for $ 50 per flight , is available for $ 50 per flight from 10 us airports .
the service is available from 10 us airlines including los angeles and atlanta ."
7,CNNDM,LEAD3,75.0,"a 10-year-old boy climbed through a school window and jumped to his death after his chess opponent failed to say ' checkmate ' after beating him , a police report has revealed .
the child , whose name has not been released , suffered fatal injuries in the incident at grant elementary school in dumont , new jersey on march 6 and died later that day .
on wednesday , police released a report after an investigation into his death , the record reported ."
87,CNNDM,PG,83.0,"kansas city beat rivals the chicago white sox descended into a mass brawl yesterday .
umpires ejected a total of five players from both teams after the fight in the seventh inning of thursday 's game at chicago 's u.s. cellular field ."
12,CNNDM,PROPHETNET,79.33333333333333,"the harewood arms in wakefield has publicly revealed support for ukip .
pub is known for proudly flying the gay pride flag outside its premises .
it has left regular customers stunned and provoked a ` marmite ' reaction .
landlord matt eason said : ` we believe in a lot of the policies ukip stands for regarding the pub industry '"
68,CNNDM,PG,82.66666666666667,"french prime minister manuel valls said five terrorist attacks have been foiled in france since the charlie hebdo massacre in january .
mr valls said : ' numerous attacks had already been foiled - five if you take into account the attack which happily did not take place at [ paris suburb ] villejuif ' ."
29,CNNDM,PG,80.66666666666667,"organisms lived in the sea 635 to 541 million years ago .
it seemingly puts to bed another theory that suggests our ancestors were much more simple , worm-like creatures .
one theory suggests that our common bilaterian ancestor was a worm without appendages and just a simple nervous system ."
17,CNNDM,PG,61.66666666666666,"jeff courcelle came home from work to find 5-year-old mocha -- a pure bred fawn-colored doberman pincher .
she had to have emergency stomach surgery after a piece of plastic from an orange juice container perforated her intestine .
she had 28 staples down her belly and 10 inches of intestine removed , parkinson said ."
9,CNNDM,PROPHETNET,86.0,"lib dem leader said idea of more than two parties forming a government is not ` going to work '
he said it would be a ` messy ' way to run the country and risked instability .
mr clegg told voters to go to the ballot box on may 7 expecting a hung parliament , with no one party able to secure an overall majority of mps ."
11,CNNDM,LEAD3,64.0,"london ( cnn )
congolese immigrant tarsis mboma thale has a small business selling t-shirts in johannesburg , south africa .
thale 's job normally requires him to walk the streets of the city he has called home for the past few years ."
22,CNNDM,LEAD3,85.33333333333333,"this is the scarred face of a nursing student who was hit in the face by a flying pint glass which was thrown across a crowded pub during a heavy metal gig .
charnelle hughes , 20 , was stood near the bar at the adelphi pub in preston reading a text message , when she was struck on the side of the head by the empty glass after it was hurled into a group of 40 people during a live gig .
the culprit jordan goode , also aged 20 , had been dancing aggressively to heavy rock music and had suddenly picked up the glass and threw it randomly ."
